,,
,Mã Cửa Hàng,Tỉnh
,CH 0001,Ha Noi
,CH 0002,Ha Noi
,CH 0003,Ha Noi
,CH 0004,Ha Noi
,CH 0005,Ha Noi
,CH 0006,Ha Noi
,CH 0007,Ha Noi
,CH 0008,Ha Noi
,CH 0009,Ha Noi
,CH 0010,Ha Noi
,CH 0011,Ha Noi
,CH 0012,Ha Noi
,CH 0013,Ha Noi
,CH 0014,Ha Noi
,CH 0015,Ha Noi
,CH 0016,Ha Noi
,CH 0017,Ha Noi
,CH 0018,Ha Noi
,CH 0019,Ha Noi
,CH 0020,Ha Noi
,CH 0021,Ha Noi
,CH 0022,Ha Noi
,CH 0023,Ha Noi
,CH 0024,Ha Noi
,CH 0025,Ha Noi
,CH 0026,Ha Noi
,CH 0027,Ha Noi
,CH 0028,Ha Noi
,CH 0029,Ha Noi
,CH 0030,Ha Noi
,CH 0031,Ha Noi
,CH 0032,Ha Noi
,CH 0033,Ha Noi
,CH 0034,Ha Noi
,CH 0035,Ha Noi
,CH 0036,Ha Noi
,CH 0037,Ha Noi
,CH 0038,Ha Noi
,CH 0039,Ha Noi
,CH 0040,Ha Noi
,CH 0041,Ha Noi
,CH 0042,Ha Noi
,CH 0043,Ha Noi
,CH 0044,Ha Noi
,CH 0045,Ha Noi
,CH 0046,Ha Noi
,CH 0047,Ha Noi
,CH 0048,Ha Noi
,CH 0049,Ha Noi
,CH 0050,Ha Noi
,CH 0051,Ha Noi
,CH 0052,Ha Noi
,CH 0053,Ha Noi
,CH 0054,Ha Noi
,CH 0055,Ha Noi
,CH 0056,Ha Noi
,CH 0057,Ha Noi
,CH 0058,Ha Noi
,CH 0059,Ha Noi
,CH 0060,Ha Noi
,CH 0061,Ha Noi
,CH 0062,Ha Noi
,CH 0063,Ha Noi
,CH 0064,Ha Noi
,CH 0065,Ha Noi
,CH 0066,Ha Noi
,CH 0067,Ha Noi
,CH 0068,Ha Noi
,CH 0069,Ha Noi
,CH 0070,Ha Noi
,CH 0071,Ha Noi
,CH 0072,Ha Noi
,CH 0073,Ha Noi
,CH 0074,Ha Noi
,CH 0075,Ha Noi
,CH 0076,Ha Noi
,CH 0077,Ha Noi
,CH 0078,Ha Noi
,CH 0079,Ha Noi
,CH 0080,Ha Noi
,CH 0081,Ha Noi
,CH 0082,Ha Noi
,CH 0083,Ha Noi
,CH 0084,Ha Noi
,CH 0085,Ha Noi
,CH 0086,Ha Noi
,CH 0087,Ha Noi
,CH 0088,Ha Noi
,CH 0089,Ha Noi
,CH 0090,Ha Noi
,CH 0091,Ha Noi
,CH 0092,Ha Noi
,CH 0093,Ha Noi
,CH 0094,Ha Noi
,CH 0095,Ha Noi
,CH 0096,Ha Noi
,CH 0097,Ha Noi
,CH 0098,Ha Noi
,CH 0099,Ha Noi
,CH 0100,Ha Noi
,CH 0101,Ha Noi
,CH 0102,Ha Noi
,CH 0103,Ha Noi
,CH 0104,Ha Noi
,CH 0105,Ha Noi
,CH 0106,Ha Noi
,CH 0107,Ha Noi
,CH 0108,Ha Noi
,CH 0109,Ha Noi
