,,,,
,Ngày,Mã Cửa Hàng,Doanh Thu,Chi Phí
,1-Jan,CH 0001,14651,12685
,1-Jan,CH 0002,23564,22321
,1-Jan,CH 0003,8726,7017
,1-Jan,CH 0004,27120,23788
,1-Jan,CH 0005,9195,7452
,1-Jan,CH 0006,19903,18601
,1-Jan,CH 0007,63208,55556
,1-Jan,CH 0008,27605,25083
,1-Jan,CH 0009,15918,13716
,1-Jan,CH 0010,13108,11183
,1-Jan,CH 0011,20837,16938
,1-Jan,CH 0012,22326,20779
,1-Jan,CH 0013,13433,11317
,1-Jan,CH 0014,26029,21548
,1-Jan,CH 0015,18693,15516
,1-Jan,CH 0016,32638,26933
,1-Jan,CH 0017,38504,31465
,1-Jan,CH 0018,18086,16435
,1-Jan,CH 0019,7985,6855
,1-Jan,CH 0020,23761,21161
,1-Jan,CH 0021,29927,26002
,1-Jan,CH 0022,31750,29993
,1-Jan,CH 0023,24341,21621
,1-Jan,CH 0024,25761,21441
,1-Jan,CH 0025,25242,22803
,1-Jan,CH 0026,32818,29435
,1-Jan,CH 0027,28582,25631
,1-Jan,CH 0028,47734,41802
,1-Jan,CH 0029,21443,19179
,1-Jan,CH 0030,23366,19810
,1-Jan,CH 0031,15291,14107
,1-Jan,CH 0032,18409,16853
,1-Jan,CH 0033,26129,21262
,1-Jan,CH 0034,31330,28441
,1-Jan,CH 0035,32443,28332
,1-Jan,CH 0036,32206,30133
,1-Jan,CH 0037,17893,15114
,1-Jan,CH 0038,8703,7315
,1-Jan,CH 0039,17613,16502
,1-Jan,CH 0040,32042,28961
,1-Jan,CH 0041,39025,31272
,1-Jan,CH 0042,13656,11246
,1-Jan,CH 0043,16727,14378
,1-Jan,CH 0044,21045,19569
,1-Jan,CH 0045,12207,10693
,1-Jan,CH 0046,43797,39507
,1-Jan,CH 0047,36046,33865
,1-Jan,CH 0048,31783,25886
,1-Jan,CH 0049,32771,28049
,1-Jan,CH 0050,29761,23944
,1-Jan,CH 0051,24956,23101
,1-Jan,CH 0052,13575,11495
,1-Jan,CH 0053,11602,9674
,1-Jan,CH 0054,18736,17276
,1-Jan,CH 0055,16752,13937
